# Chimera Neural Network - Saved Model
# W, layer, from, to, weight
# B, layer, neuron, bias
W,0,5,68,-0.06438527
W,0,5,69,0.11306922
W,0,5,70,-0.12142477
W,0,5,71,-0.09589402
W,0,5,72,0.01414755
W,0,5,73,-0.06472763
W,0,5,74,0.13348472
W,0,5,75,0.00582060
W,0,5,76,0.05582202
W,0,5,77,0.12860569
W,0,5,78,0.46821290
W,0,5,79,0.18080206
W,0,5,80,0.21576263
W,0,5,81,0.06245385
W,0,5,82,0.25134635
W,0,5,83,-0.10561930
W,0,5,84,-0.16841154
W,0,5,85,0.06267179
W,0,5,86,0.33836547
W,0,5,87,-0.11071651
W,0,5,88,0.15073369
W,0,5,89,-0.29748139
W,0,5,90,-0.23727550
W,0,5,91,0.30324784
W,0,5,92,-0.19436692
W,0,5,93,0.33058861
W,0,5,94,0.10110948
W,0,5,95,-0.11552799
W,0,5,96,-0.27558106
W,0,5,97,0.09255589
W,0,5,98,0.00137760
W,0,5,99,0.09818204
W,0,5,100,0.07442184
W,0,5,101,0.17875198
W,0,5,102,-0.28749469
W,0,5,103,-0.20248030
W,0,5,104,0.22286548
W,0,5,105,-0.03677334
W,0,5,106,0.26698828
W,0,5,107,0.04001352
W,0,5,108,-0.33705989
W,0,5,109,-0.18399625
W,0,5,110,-0.21303509
W,0,5,111,-0.00909713
W,0,5,112,0.03267452
W,0,5,113,-0.13924597
W,0,5,114,-0.02176510
W,0,5,115,-0.24437989
W,0,5,116,-0.04176088
W,0,5,117,-0.19660105
W,0,5,118,0.37530589
W,0,5,119,-0.00605191
W,0,5,120,-0.01010782
W,0,5,121,0.15286197
W,0,5,122,-0.15709278
W,0,5,123,0.36021551
W,0,5,124,0.23358092
W,0,5,125,0.08863544
W,0,5,126,-0.06685726
W,0,5,127,-0.18091336
W,0,6,0,-0.00658573
W,0,6,1,-0.30537039
W,0,6,2,-0.12263770
W,0,6,3,0.11303329
W,0,6,4,0.11084676
W,0,6,5,-0.15587904
W,0,6,6,0.20530744
W,0,6,7,-0.12105830
W,0,6,8,-0.19801685
W,0,6,9,0.36314335
W,0,6,10,0.35229316
W,0,6,11,0.23872900
W,0,6,12,-0.07286994
W,0,6,13,0.07118482
W,0,6,14,0.03125749
W,0,6,15,-0.10460422
W,0,6,16,-0.10182884
W,0,6,17,-0.07740830
W,0,6,18,0.05706292
W,0,6,19,-0.06061271
W,0,6,20,-0.18289202
W,0,6,21,0.00031934
W,0,6,22,0.03846135
W,0,6,23,0.01344074
W,0,6,24,0.07191934
W,0,6,25,0.06144643
W,0,6,26,-0.00701017
W,0,6,27,-0.21731618
W,0,6,28,-0.01902260
W,0,6,29,-0.06015993
W,0,6,30,-0.12204830
W,0,6,31,0.00638062
W,0,6,32,0.05257313
W,0,6,33,-0.22616675
W,0,6,34,0.14696085
W,0,6,35,0.00678456
W,0,6,36,-0.16648792
W,0,6,37,0.14145719
W,0,6,38,-0.22142248
W,0,6,39,0.00621839
W,0,6,40,0.22171132
W,0,6,41,-0.22729743
W,0,6,42,-0.04811028
W,0,6,43,-0.30597594
W,0,6,44,-0.23648086
W,0,6,45,-0.15208770
W,0,6,46,-0.17506045
W,0,6,47,-0.01550729
W,0,6,48,0.01576126
W,0,6,49,-0.17103587
W,0,6,50,-0.04139915
W,0,6,51,-0.10144980
W,0,6,52,-0.10188852
W,0,6,53,-0.24979040
W,0,6,54,0.14494945
W,0,6,55,-0.01233329
W,0,6,56,-0.26755211
W,0,6,57,-0.26870632
W,0,6,58,0.25248411
W,0,6,59,0.06863586
W,0,6,60,0.17620207
W,0,6,61,-0.14485957
W,0,6,62,-0.09832849
W,0,6,63,0.25974792
W,0,6,64,0.17487988
W,0,6,65,-0.05863651
W,0,6,66,0.09090678
W,0,6,67,-0.43860468
W,0,6,68,0.25346628
W,0,6,69,0.44776154
W,0,6,70,0.18226382
W,0,6,71,0.15118381
W,0,6,72,0.08650088
W,0,6,73,-0.12896962
W,0,6,74,0.09907694
W,0,6,75,0.24706678
W,0,6,76,-0.12390253
W,0,6,77,-0.35688925
W,0,6,78,-0.15607648
W,0,6,79,-0.09960797
W,0,6,80,-0.09725927
W,0,6,81,-0.14240898
W,0,6,82,0.03563127
W,0,6,83,0.10164676
W,0,6,84,-0.08505797
W,0,6,85,0.28018218
W,0,6,86,-0.41206864
W,0,6,87,-0.19974925
W,0,6,88,0.24054316
W,0,6,89,-0.12827614
W,0,6,90,-0.21718331
W,0,6,91,0.03837592
W,0,6,92,0.05087708
W,0,6,93,0.15631351
W,0,6,94,-0.00491495
W,0,6,95,-0.10752483
W,0,6,96,-0.13933359
W,0,6,97,-0.39393190
W,0,6,98,0.26549199
W,0,6,99,0.12904386
W,0,6,100,-0.17843387
W,0,6,101,-0.08435560
W,0,6,102,0.17334940
W,0,6,103,0.14392933
W,0,6,104,-0.00391257
W,0,6,105,-0.13170961
W,0,6,106,0.16124973
W,0,6,107,-0.27734494
W,0,6,108,-0.04512862
W,0,6,109,0.23616827
W,0,6,110,0.08872321
W,0,6,111,-0.04587187
W,0,6,112,-0.16748312
W,0,6,113,-0.23310857
W,0,6,114,0.17686655
W,0,6,115,0.31742129
W,0,6,116,0.11654776
W,0,6,117,0.04751894
W,0,6,118,-0.22486238
W,0,6,119,-0.52343994
W,0,6,120,-0.06298905
W,0,6,121,-0.16558225
W,0,6,122,-0.05557757
W,0,6,123,0.20495707
W,0,6,124,0.09666748
W,0,6,125,-0.00734281
W,0,6,126,0.00335223
W,0,6,127,-0.30923030
W,0,7,0,0.04217445
W,0,7,1,0.30604985
W,0,7,2,0.13891512
W,0,7,3,-0.07443523
W,0,7,4,0.38077804
W,0,7,5,-0.31783873
W,0,7,6,-0.06362456
W,0,7,7,-0.03686734
W,0,7,8,0.09323757
W,0,7,9,-0.01236390
W,0,7,10,0.05972699
W,0,7,11,-0.15138759
W,0,7,12,-0.08143809
W,0,7,13,0.11659086
W,0,7,14,0.11698990
W,0,7,15,-0.31886989
W,0,7,16,-0.13562654
W,0,7,17,-0.12903935
W,0,7,18,0.09648281
W,0,7,19,-0.07235056
W,0,7,20,-0.02013525
W,0,7,21,0.10129374
W,0,7,22,-0.05234779
W,0,7,23,0.13585031
W,0,7,24,-0.30396694
W,0,7,25,-0.03096516
W,0,7,26,-0.02110249
W,0,7,27,0.20076208
W,0,7,28,0.32249746
W,0,7,29,0.21285297
W,0,7,30,-0.23613843
W,0,7,31,-0.10727634
W,0,7,32,-0.09791725
W,0,7,33,0.21960747
W,0,7,34,0.12989014
W,0,7,35,0.01993063
W,0,7,36,-0.41277134
W,0,7,37,0.01033473
W,0,7,38,0.11200164
W,0,7,39,-0.19353803
W,0,7,40,-0.00865666
W,0,7,41,-0.13606751
W,0,7,42,-0.14588678
W,0,7,43,0.31580481
W,0,7,44,0.27346599
W,0,7,45,-0.19577919
W,0,7,46,-0.12543014
W,0,7,47,-0.10684017
W,0,7,48,0.01053052
W,0,7,49,-0.11600161
W,0,7,50,0.03257893
W,0,7,51,-0.03605697
W,0,7,52,0.33932772
W,0,7,53,-0.22621191
W,0,7,54,-0.01091085
W,0,7,55,0.26810309
